Question,Grade applied,KCs applied,Source,label
"Carmen’s living room floor has the shape and dimensions shown in this diagram. 
y2018_grade6_q27_img_1.png 
What is the area of Carmen’s living room floor? 
 A 234 square feet 
 B 252 square feet 
 C 330 square feet 
 D 378 square feet 

",6,6.G.1,MCAS,3
"There are 720 students at a school. All the students at the school are going on a field trip to a science museum. The students will ride school buses to the museum. Each bus holds 60 students when completely full. 
Part A 
What is the least number of buses needed to take all the students from the school to the science museum? Show or explain how you got your answer. 
Enter your answer and your work or explanation in the space provided. 
Part B 
Write an equation to represent the problem you solved in Part A. 
Enter your equation in the space provided. Enter only your equation. 
Part C 
The school can also use smaller buses to take the students to the museum. Each smaller bus holds 50 students when completely full. 
What is the least number of smaller buses needed to take all the students from the school to the science museum? Show or explain how you got your answer. 
Enter your answer and your work or explanation in the space provided. 
",5,5.NBT.6,MCAS,2
Rebecca wants to split a collection of eggs into groups of 2. Rebecca has 16 eggs and 3 marbles. How many groups will be created?,3,['3.OA.A.3'],ASDiv,0
"Tina makes $18.00 an hour.  If she works more than 8 hours per shift, she is eligible for overtime, which is paid by your hourly wage + 1/2 your hourly wage.  If she works 10 hours every day for 5 days, how much money does she make?",4,"['2.OA.A.1', '2.NBT.B.7', '1.OA.A.1', '3.OA.A.3', '4.NBT.B.5', '4.NF.B.4.c']",GSM8K-TRAIN,1
"Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?",3,"['3.OA.A.3', '2.OA.A.1']",GSM8K-TRAIN,0
"Claire wrote a number that is greater than zero on her paper. When Claire’s number is multiplied by any whole number, the last digit of the product is always 0. 
In the Answer Box below, write a number that could be Claire’s number. 
Answer Box y2016_grade3_q12_img_1.png 
",3,3.NBT.3,MCAS,0
"Which model shows a way to multiply 3 by 14? 
 A y2015_grade4_q5_img_1.png 
 B y2015_grade4_q5_img_2.png 
 C y2015_grade4_q5_img_3.png 
 D y2015_grade4_q5_img_4.png 

",4,4.NBT.5,MCAS,1
"Luke recorded the number of days it rained each month for 12 months. He made a box plot to represent the data, as shown below. 
Number of Days of Rain Per Month y2016_grade6_q17_img_1.png 
What is the interquartile range of the data in Luke’s box plot? 
 A 11 
 B 9 
 C 8 
 D 5 

",6,6.SP.5,MCAS,3
"Gianna drew an X on two sides of a triangle, as shown below. 
y2016_grade4_q13_img_1.png 
Which statement is true about the sides that Gianna drew an X on? 
 A The sides are parallel. 
 B The sides are perpendicular. 
 C The sides form an acute angle. 
 D The sides form an obtuse angle. 

",4,4.G.1,MCAS,1
"Sophia mixed paint in a bucket. For every three cups of yellow paint she put in the bucket, she mixed in one cup of white paint. 
What is the ratio of yellow paint to white paint in Sophia’s mixture? 
 A 3:1 
 B 1:3 
 C 3:4 
 D 4:3 

",6,6.RP.1,MCAS,3
"Victoria scored a total of 9 points in the first basketball game of the season. She scored 5 points per game in each of the other x basketball games she played that season. 
Which of the following expressions represents the total number of points Victoria scored in the basketball games for the whole season? 
 A $$ 5x $$ 
 B $$ 14x $$ 
 C $$ 5 + 9x $$ 
 D $$ 9 + 5x $$ 

",6,6.EE.6,MCAS,3
"Christopher planted 24 bean plants in his garden. He placed the bean plants in 4 rows. Each row had the same number of plants. 
a. {'element_type': 'text-plain', 'element_value': 'Draw an array to show how Christopher placed all the bean plants in his garden.'} 
b. {'element_type': 'text-plain', 'element_value': 'How many bean plants did Christopher place in each row?'} 
",3,3.OA.3,MCAS,0
"Ayanna lives 0.67 mile from a school. Kellen lives farther from the school than Ayanna does. 
Which of these could be the distance Kellen lives from the school? 
 A 0.59 mile 
 B 0.74 mile 
 C 0.48 mile 
 D 0.61 mile 

",4,4.NF.7,MCAS,1
"Rasheed conducted a survey at his school. He asked each student to name one favorite season of the year. The results of Rasheed’s survey are shown in this chart. 
Students’ Favorite
Season of the Year y2017_grade6_q1_img_1.png 
Which of the following circle graphs appears to correctly represent the results of Rasheed’s survey? 
 A Students’ Favorite
Season of the Year y2017_grade6_q1_img_2.png 
 B Students’ Favorite
Season of the Year y2017_grade6_q1_img_3.png 
 C Students’ Favorite
Season of the Year y2017_grade6_q1_img_4.png 
 D Students’ Favorite
Season of the Year y2017_grade6_q1_img_5.png 

",6,6.SP.4,MCAS,3
What is the value of $9^3 + 3(9^2) + 3(9) + 1$?,6,"['HS.A-APR.C.5', '6.EE.A.1', '6.EE.A.2.c']",GSM8K-TRAIN,3
"Ashley’s ladder is 1.85 meters high. What is the height, in centimeters, of Ashley’s ladder? 
Enter your answer in the box. 
",5,5.MD.1,MCAS,2
"A group of 5 campers used a total of 12 gallons of water on a camping trip. Each camper used the same amount of water. 
How many gallons of water did each camper use? 
 A $$\frac{1}{12}$$ 
 B $$\frac{5}{12}$$ 
 C $$2\frac{2}{5}$$ 
 D $$2\frac{1}{2}$$ 

",5,5.NF.3,MCAS,2
"Mark has a garden with flowers. He planted plants of three different colors in it. Ten of them are yellow, and there are 80% more of those in purple. There are only 25% as many green flowers as there are yellow and purple flowers. How many flowers does Mark have in his garden?",6,"['2.OA.A.1', '6.RP.A.3.d', '1.OA.A.1']",GSM8K-TRAIN,3
"Which of these shapes is both a rhombus and a rectangle? 
 A y2018_grade3_q12_img_1.png 
 B y2018_grade3_q12_img_2.png 
 C y2018_grade3_q12_img_3.png 
 D y2018_grade3_q12_img_4.png 

",3,3.G.1,MCAS,0
"An expression is shown below. 
$$g + 3f + f + g + g$$ 
Write an equivalent expression that uses each variable only once. 
",6,6.EE.4,MCAS,3
"Jane, Frank, and Denise each cut a length of ribbon. 
 2_1 Jane’s ribbon is 0.5 meter long. 
 2_2 Frank’s ribbon is 0.39 meter long. 
 2_3 Denise’s ribbon is 0.4 meter long. 

Which statement about the lengths of the ribbons is true? 
 A Jane’s ribbon is longer than Frank’s ribbon. 
 B Denise’s ribbon is longer than Jane’s ribbon. 
 C Frank’s ribbon is longest. 
 D Denise’s ribbon is shortest. 

",4,4.NF.7,MCAS,1
"Ms. Hanson poured water into a jug, as shown below. 
y2016_grade3_q1_img_1.png 
Which of these is closest to the amount of water in the jug? 
 A 2 liters 
 B $$2\frac{1}{2}$$ liters 
 C 3 liters 
 D $$3\frac{1}{2}$$ liters 

",3,3.MD.2,MCAS,0
"Nathan is using the area model below to solve a problem. 
y2016_grade4_q8_img_1.png 
Which problem is represented by the whole area model? 
 A $$12 \times 6 = \square$$ 
 B $$16 \times 13 = \square$$ 
 C $$20 \times 9 = \square$$ 
 D $$60 \times 90 = \square$$ 

",4,4.NBT.5,MCAS,1
"A bowl of punch is made by mixing 3 parts juice to 1 part soda. Which of the following statements about the punch is not true? 
 A Soda makes up $$ \frac{1}{4} $$ of the punch. 
 B Juice makes up $$ \frac{3}{4} $$ of the punch. 
 C The amount of soda in the punch is $$ \frac{1}{2} $$ the amount of juice in the punch. 
 D The amount of juice in the punch is 3 times the amount of soda in the punch. 

",6,6.RP.1,MCAS,3
"The location of point T is shown on the coordinate grid below. 
y2015_grade6_q16_img_1.png 
Point S is located 5 units to the right of point T. What are the coordinates of point S? 
",6,6.NS.8,MCAS,3
"Which of the following is equivalent to the expression below? 
$$7h + 1$$ 
 A $$h + 7$$ 
 B $$7\left(h + 1\right)$$ 
 C $$\left(5h + 2\right) + 1$$ 
 D $$\left(5 + 2\right)h + 1$$ 

",6,6.EE.4,MCAS,3
"Carolina is twice as old as her brother Diego will be in 3 years. Diego is 4 years old now. The expression below shows how to find Carolina’s age, in years. 
$$2 \times \left( 4 + 3\right)$$ 
a. {'element_type': 'text-plain', 'element_value': 'What is Carolina’s age, in years? Show or explain how you got your answer.'} 
Carolina’s sister, Marisol, is three times as old as Diego was 2 years ago. 
b. {'element_type': 'text-plain', 'element_value': 'Write an expression using numbers and operations to represent Marisol’s age, in years.'} 
c. {'element_type': 'text-plain', 'element_value': 'What is Marisol’s age, in years? Show or explain how you got your answer.'} 
The expression below represents the difference, in years, between the ages of Carolina’s father and her mother. 
$$\left(15 \times 3\right) - \left[\left(10 \times 4\right) - 2 \right]$$ 
d. {'element_type': 'text-plain', 'element_value': 'What is the difference, in years, between the ages of Carolina’s father and her mother? Show or explain how you got your answer.'} 
",5,5.OA.1,MCAS,2
"Brendan made a line plot showing the weekly rainfall, in inches, for his town one summer. His line plot is shown below. 
Weekly Rainfall
(in inches) y2016_grade4_q18_img_1.png 
Which of these expressions can Brendan use to find the difference, in inches, between the greatest weekly rainfall and the least weekly rainfall that he recorded for his town? 
 A $$1\frac{1}{2} - \frac{1}{2}$$ 
 B $$5\frac{1}{2} - \frac{1}{2}$$ 
 C $$5\frac{1}{2} - 1\frac{1}{2}$$ 
 D $$6 - \frac{1}{2}$$ 

",4,4.MD.4,MCAS,1
"At the fair Kaleb bought 6 tickets. After riding the ferris wheel he had 3 tickets left. If each ticket cost 9 dollars, how much money did Kaleb spend riding the ferris wheel?",3,"['3.OA.A.3', 'K.OA.A.2']",ASDiv,0
"Mr. Felton will use exactly 42 feet of fencing to surround a garden that is in the shape of a rectangle. His garden has a length of 12 feet. The equation below represents the perimeter of Mr. Felton’s garden. 
$$ w + w + 12 + 12 = 42 $$ 
What is $$w$$, the width, in feet, of Mr. Felton’s garden? 
Enter your answer in the box. 
",4,4.MD.3,MCAS,1
"The net of a triangular prism and some of its dimensions are shown in the diagram. 
y2017_grade6_q2_img_1.png 
What is the total surface area, in square inches, of the triangular prism? 
Enter your answer in the box. 
",6,6.G.4,MCAS,3
"Which of the following statements is true? 
 A $$ \left( 25 \times 10 \right) − 15 $$ is 15 decreased by the product of 25 and 10. 
 B $$ 3 + \left( 19 − 10 \right) $$ is 3 more than the sum of 19 and 10. 
 C $$ 7 − \left( 18 + 38 \right) $$ is 7 less than the sum of 18 and 38. 
 D $$ \left( 24 \div 6 \right) \times 5 $$ is 5 times the quotient of 24 and 6. 

",5,5.OA.2,MCAS,2
"A class of 29 students is taking a field trip to the zoo. Each ticket to the zoo costs $15. 
Which of these expressions can be used to find the total cost, in dollars, of the tickets to the zoo? 
 A $$\left(29 + 10\right) + \left(29 + 5\right)$$ 
 B $$\left(29 \times 10\right) + \left(29 \times 5\right)$$ 
 C $$\left(29 + 10\right) \times \left(29 + 5\right)$$ 
 D $$\left(29 \times 10\right) \times \left(29 \times 5\right)$$ 

",4,4.NBT.5,MCAS,1
"Guthrie made the input-output table shown below. 
y2016_grade6_q15_img_1.png 
Which of the following equations is true for all values in Guthrie’s input-output table? 
 A $$x + 3 = y$$ 
 B $$x + 7 = y$$ 
 C $$3x + 1 = y$$ 
 D $$4x - 1 = y$$ 

",6,6.EE.9,MCAS,3
"Greta recorded the number of miles she walked each day last week on a line plot, as shown below. 
Number of Miles Walked y2015_grade4_q15_img_1.png 
How many miles in all did Greta walk last week? 
 A 8 miles 
 B 10 miles 
 C $$12rac{1}{2}$$ miles 
 D $$14rac{1}{2}$$ miles 

",4,4.MD.4,MCAS,1
"Jody wrote the expression shown below. 
$$\left(2 \times 3\right) + \left(2 \times 5\right)$$ 
Which of these is another way to write Jody’s expression? 
 A $$2 \times 8$$ 
 B $$4 \times 8$$ 
 C $$4 \times 15$$ 
 D $$6 \times 10$$ 

",3,3.OA.5,MCAS,0
"Vegetables were planted in $$ \frac{1}{2} $$ of a garden. The section of the garden where vegetables were planted was divided into 3 equal parts: one for carrots, one for lettuce, and one for tomatoes. 
Which of the following models is shaded to represent the fraction of the garden where carrots were planted? 
y2018_grade5_q11_img_1.png 
 A y2018_grade5_q11_img_2.png 
 B y2018_grade5_q11_img_3.png 
 C y2018_grade5_q11_img_4.png 
 D y2018_grade5_q11_img_5.png 

",5,5.NF.7,MCAS,2
"Which of the following expressions has the greatest value? 
 A $$2^{3} + 2^{3}$$ 
 B $$2^{3} + 7^{1}$$ 
 C $$3^{2} + 3^{2}$$ 
 D $$3^{2} + 7^{1}$$ 

",6,6.EE.1,MCAS,3
"Ms. Montano asked her students to solve the equation shown in the box below. 
$$\frac{6}{7} + \frac{5}{6} = n$$ 
Which of the following is closest to the value of n ? 
 A $$\frac{1}{4}$$ 
 B $$\frac{3}{4}$$ 
 C $$1\frac{1}{2}$$ 
 D $$5\frac{1}{2}$$ 

",5,5.NF.2,MCAS,2
"Very early this morning, Elise left home in a cab headed for the hospital. Fortunately, the roads were clear, and the cab company only charged her a base price of $3, and $4 for every mile she traveled. If Elise paid a total of $23, how far is the hospital from her house?",3,"['3.OA.A.3', '2.OA.A.1']",GSM8K-TRAIN,0
"What value of p makes this equation true? 
$$ 3,032 \div p = 8 $$ 
 A 354 
 B 375 
 C 379 
 D 382 

",4,4.NBT.6,MCAS,1
"Bill’s flower garden has an area of 28 square feet. The rectangular garden is 7 feet long. What is the width of the garden? 
 A 4 feet 
 B 8 feet 
 C 21 feet 
 D 35 feet 

",6,6.G.1,MCAS,3
"All of the benches in a park are red or blue. The ratio of red benches to blue benches in the park is 3 : 4. 
Based on this information, which of the following statements is true? 
 A For every 4 benches in the park, 3 are red. 
 B For every 7 benches in the park, 4 are red. 
 C For every 3 red benches in the park, there are 4 blue benches. 
 D For every 3 red benches in the park, there are 7 blue benches. 

",6,6.RP.1,MCAS,3
"Eberto wrote this expression in his notebook. 
$$ 10 \times 10 \times 10 \times 10 $$ 
Which of the following is equivalent to Eberto’s expression? 
 A $$ 3^10 $$ 
 B $$ 4^10 $$ 
 C $$ 10^3 $$ 
 D $$ 10^4 $$ 

",5,5.NBT.2,MCAS,2
"Olivia’s height is 1.34 meters. What is Olivia’s height in centimeters? 
 A 0.0134 centimeter 
 B 0.134 centimeter 
 C 13.4 centimeters 
 D 134.0 centimeters 

",4,4.MD.1,MCAS,1
"Deron bought some packs of baseball cards. Each pack had 5 baseball cards. He bought 30 baseball cards in all. 
What is the total number of packs of baseball cards Deron bought? 
 A 8 
 B 7 
 C 6 
 D 5 

",3,3.OA.7,MCAS,0
"Roya paid $48 for 12 cartons of orange juice. What is the unit rate per carton of orange juice that Roya paid? 
 A $3 
 B $4 
 C $6 
 D $12 

",6,6.RP.2,MCAS,3
"A student has $10. She will save $5 each week. The student wrote the expression shown to represent the amount of money she will have after w weeks. 
$$ 5w + 10 $$ 
Which of the following expressions is equivalent to the student’s expression for any value of w? 
 A $$ 15w $$ 
 B $$ 50w $$ 
 C $$ 5 \left( w + 2 \right) $$ 
 D $$ 5 \left( w + 10 \right) $$ 

",6,6.EE.3,MCAS,3
"Jody read the clues below about a mystery number. 
 2_1 It is a multiple of 2. 
 2_2 It is a factor of 18. 
 2_3 It is a composite number. 

Which of these numbers could be the mystery number? 
 A 2 
 B 6 
 C 9 
 D 12 

",4,4.OA.4,MCAS,1
"Anjali has the shape shown. 
y2018_grade4_q1_img_1.png 
What is the total number of right angles Anjali’s shape appears to have? 
 A 0 
 B 1 
 C 2 
 D 3 

",4,4.G.1,MCAS,1
"What is 946 rounded to the nearest hundred? 
 A 800 
 B 900 
 C 950 
 D 1000 

",3,3.NBT.1,MCAS,0
"Which of the following expressions represents “subtract 17 from x ” ? 
 A $$17 - x$$ 
 B $$x - 17$$ 
 C $$-17x$$ 
 D $$-x -17$$ 

",6,6.EE.2,MCAS,3
"Ms. Curran wrote three clues about a shape, as shown in this box. 
Clues  2_1 It is a quadrilateral. 
 2_2 It has two right angles. 
 2_3 Two of its sides are parallel. 

Which of the following shapes matches all three clues? 
 A y2018_grade4_q39_img_1.png 
 B y2018_grade4_q39_img_2.png 
 C y2018_grade4_q39_img_3.png 
 D y2018_grade4_q39_img_4.png 

",4,4.G.2,MCAS,1
"On Monday, the school store sold pencils, pens, erasers, and rulers. 
 2_1 The store sold 6 more pencils than pens. 
 2_2 The store sold 2 times as many erasers as rulers. 

Which of these bar graphs could show the items that were sold on Monday? 
 A School Store
Sales on Monday y2016_grade3_q17_img_1.png 
 B School Store
Sales on Monday y2016_grade3_q17_img_2.png 
 C School Store
Sales on Monday y2016_grade3_q17_img_3.png 
 D School Store
Sales on Monday y2016_grade3_q17_img_4.png 

",3,3.MD.3,MCAS,0
"Kane placed point H on a number line to show $$\frac{3}{4}$$. Which of these could be Kane’s number line? 
 A y2015_grade3_q17_img_1.png 
 B y2015_grade3_q17_img_2.png 
 C y2015_grade3_q17_img_3.png 
 D y2015_grade3_q17_img_4.png 

",3,3.NF.2,MCAS,0
"A right triangle and its dimensions are shown in the diagram below. 
y2015_grade6_q5_img_1.png 
What is the area, in square meters, of the triangle? 
",6,6.G.1,MCAS,3
"Josh measured the daily rainfall in his city for two weeks. He recorded the rainfall amounts to the nearest one-fourth inch on a line plot, as shown below. 
Amount of Rainfall (inches) y2016_grade5_q19_img_1.png 
What is the total amount of rainfall Josh recorded for the two weeks? 
 A $$2\frac{1}{2} inches$$ 
 B $$4\frac{1}{4} inches$$ 
 C 8 inches 
 D 14 inches 

",5,5.MD.2,MCAS,2
"Each meal at a school cafeteria is served with 2 portions of vegetables. What is the ratio of meals served to portions of vegetables served at the school cafeteria? 
 A 1 : 2 
 B 1 : 3 
 C 2 : 1 
 D 3 : 1 

",6,6.RP.1,MCAS,3
"Julie is reading a 120-page book. Yesterday, she was able to read 12 pages and today, she read twice as many pages as yesterday. If she wants to read half of the remaining pages tomorrow, how many pages should she read?",3,"['3.OA.A.3', '2.OA.A.1', '3.NBT.A.2']",GSM8K-TRAIN,0
"This question has four parts. 
Juan and Lily each wrote a pattern. 
Lily wrote a pattern using a rule with two operations. The rule is “subtract 2, add 8.” The first five numbers in her pattern are shown. 
114, 112, 120, 118, 126, ... 
Part A 
Continue Lily’s pattern to show the next four numbers in her pattern. 
Enter your answer in the space provided. 
Part B 
Explain why the numbers in Lily’s pattern increased overall, although part of her rule is “subtract 2.” 
Enter your explanation in the space provided. 
Part C 
Juan also wrote a pattern using a rule with two operations. The first two numbers in his pattern are shown. 
150, 160, ... 
The seventh number in Juan’s pattern is less than the first number in his pattern. Write a rule with two operations that could be Juan’s rule. 
Enter your answer in the space provided. 
Part D 
Continue Juan’s pattern to show the next five numbers in his pattern using the rule you wrote in Part C. 
Enter your answer in the space provided. 
",4,4.OA.5,MCAS,1
"Which of these shows only multiples of the number 7? 
 A 1, 7, 14, 21 
 B 7, 17, 27, 37 
 C 7, 14, 21, 28 
 D 14, 21, 28, 36 

",4,4.OA.4,MCAS,1
"Which of these is true? 
 A $$\frac{4}{5} = \frac{5}{6}$$ 
 B $$\frac{4}{5} \gt \frac{5}{6}$$ 
 C $$\frac{7}{10} \gt \frac{5}{6}$$ 
 D $$\frac{7}{10} \lt \frac{4}{5}$$ 

",4,4.NF.2,MCAS,1
"Four students ran in a race. The table below shows the time it took each student to finish the race. 
Race Finish Time y2016_grade5_q7_img_1.png 
Which student took the least amount of time to finish the race? 
 A Karla 
 B Linda 
 C Mary 
 D Sofia 

",5,5.NBT.3,MCAS,2
"James buys 200 lotto tickets for 2 dollars each.  Of those tickets 20% are winners.  80% of the winners are for 5 dollars. 1 ticket is the grand prize of $5,000.  The other tickets win an average of $10.  How much did he profit?",6,"['2.OA.A.1', '4.NBT.B.4', '1.OA.A.1', '6.RP.A.3', '3.OA.A.3', '4.NBT.B.5']",GSM8K-TRAIN,3
"What is the value of the expression below when $$n = 6$$? 
$$2n + 3n$$ 
 A 12 
 B 18 
 C 30 
 D 62 

",6,6.EE.2,MCAS,3
"Ella collected 5 times as many bugs as Mari. Mari collected 15 bugs. 
What was the total number of bugs Ella collected? 
 A 75 
 B 55 
 C 20 
 D 3 

",4,4.OA.2,MCAS,1
"A box is in the shape of a right rectangular prism. The base of the box has an area of 15 square inches. The height of the box is 12 inches. 
What is the volume, in cubic inches, of the box? 
",5,5.MD.5,MCAS,2
"Nathan is making two different number patterns: Pattern X and Pattern Y. The rules for the patterns are shown below. 
Pattern X Add 5. 
Pattern Y Multiply by 2. 
Which of the following tables shows the first four terms of Nathan’s Pattern X and Pattern Y? 
 A y2015_grade5_q4_img_1.png 
 B y2015_grade5_q4_img_2.png 
 C y2015_grade5_q4_img_3.png 
 D y2015_grade5_q4_img_4.png 

",5,5.OA.3,MCAS,2
"Judy spent $$\frac{1}{2}$$ of her savings on a bicycle and $$\frac{2}{5}$$ of her savings on a helmet. What is the total fraction of her savings that Judy spent on a bicycle and a helmet? 
",5,5.NF.2,MCAS,2
"At a café, the cost of a turkey sandwich is $1 less than twice the cost of a side salad. A side salad costs $3.50. 
Which of the following expressions can be used to find the cost, in dollars, of a turkey sandwich at the café? 
 A $$ 3.50 \times 2 - 1 $$ 
 B $$ 3.50 \times 2 + 1 $$ 
 C $$ \left( 3.50 - 1 \right) \times 2 $$ 
 D $$ \left( 3.50 + 1 \right) \times 2 $$ 

",5,5.OA.2,MCAS,2
"Steve has 3 cups of peanuts. He splits the 3 cups of peanuts into $$\frac{1}{3}$$-cup servings. What is the total number of $$\frac{1}{3}$$-cup servings of peanuts Steve has? 
 A 1 
 B 3 
 C 6 
 D 9 

",5,5.NF.7,MCAS,2
"Which of the following statements about quadrilaterals is not true? 
 A Every square is also a rectangle. 
 B Every trapezoid is also a rectangle. 
 C Every rhombus is also a parallelogram. 
 D Every rectangle is also a parallelogram. 

",5,5.G.3,MCAS,2
"Some angles are shown in the diagram below. 
y2016_grade4_q17_img_1.png 
Angle EFG has a measure of 50°, and angle GFH has a measure of 30°. The sum of the measures of angles EFG, GFH, and HFJ is 120°. 
What is the measure, in degrees, of angle HFJ ? 
",4,4.MD.7,MCAS,1
"A soccer coach bought eight soccer balls. This line plot shows the weight of each ball the coach bought. 
Weight of Soccer Balls
(in pounds) y2017_grade5_q4_img_1.png 
What is the total weight, in pounds, of all the soccer balls the coach bought? 
 A $$ 2\frac{5}{8} $$ 
 B $$ 4\frac{1}{2} $$ 
 C $$ 6\frac{7}{8} $$ 
 D $$ 7\frac{5}{8} $$ 

",5,5.MD.2,MCAS,2
"Camila created some ordered pairs from corresponding terms of two different patterns. Then she plotted the ordered pairs on a graph, as shown. 
y2018_grade5_q39_img_1.png 
Which of the following describes the relationship between the corresponding terms of the two patterns? 
 A Each x-value is five times the corresponding y-value. 
 B Each y-value is five times the corresponding x-value. 
 C Each x-value is twelve more than the corresponding y-value. 
 D Each y-value is twelve more than the corresponding x-value. 

",5,5.OA.3,MCAS,2
"The decimal 0.30 is represented by the shaded part of this grid. 
School Play y2018_grade4_q21_img_1.png 
Which of these is equivalent to the decimal 0.30? 
 A 0.003 
 B 0.03 
 C 0.3 
 D 3.0 

",4,4.NF.7,MCAS,1
"The Walker family drove 362 miles. 
What is 362 rounded to the nearest hundred? 
 A 300 
 B 360 
 C 370 
 D 400 

",3,3.NBT.1,MCAS,0
"The scale on a map shows that 1 inch represents 18 miles. The distance on the map between Olivia’s town and her grandmother’s town is 4.5 inches. 
What is the actual distance between the two towns? 
 A 4 miles 
 B 22.5 miles 
 C 72.5 miles 
 D 81 miles 

",6,6.RP.3,MCAS,3
"A student mixes $$ \frac{7}{100} $$ liter of red food dye with $$ \frac{4}{10} $$ liter of water. How many liters in all are in the student’s mixture? 
 A $$ \frac{11}{100} $$ liter 
 B $$ \frac{28}{100} $$ liter 
 C $$ \frac{47}{100} $$ liter 
 D $$ \frac{74}{100} $$ liter 

",4,4.NF.5,MCAS,1
"The graph below shows the numbers of laps four children ran in gym class. 
Numbers of Laps Children Ran y2015_grade3_q1_img_1.png 
What is the total number of laps the four children ran in gym class? 
 A 21 
 B 16 
 C 11 
 D 9 

",3,3.MD.3,MCAS,0
"The measure of each angle in this shape is 108°. 
y2018_grade4_q28_img_1.png 
Olivia drew two lines inside the shape and found the measures of two angles, as shown. 
y2018_grade4_q28_img_2.png 
What is the value of x ? 
 A 30 
 B 48 
 C 60 
 D 68 

",4,4.MD.7,MCAS,1
"Cement is shipped in bags. Each bag weighs 80 pounds. A construction worker needs 1,250 pounds of cement to complete a job. 
What is the total number of bags of cement that should be shipped for the construction worker to complete the job? 
 A 14 
 B 15 
 C 16 
 D 17 

",5,5.NBT.6,MCAS,2
"This scale shows the mass, in grams, of 100 paper clips. 
y2018_grade3_q32_img_1.png 
Based on the mass of 100 paper clips, which of these is closest to the mass of 10 paper clips? 
 A 1 gram 
 B 10 grams 
 C 100 grams 
 D 1000 grams 

",3,3.MD.2,MCAS,0
"Which of the following graphs shows a constant rate of change between the variables x and y? 
 A y2016_grade6_q5_img_1.png 
 B y2016_grade6_q5_img_2.png 
 C y2016_grade6_q5_img_3.png 
 D y2016_grade6_q5_img_4.png 

",6,6.EE.9,MCAS,3
"Jasmine is solving this equation. 
$$ \frac{x}{4} = 9 $$ 
What value of $$x$$ makes Jasmine’s equation true? 
 A 5 
 B 9 
 C 13 
 D 36 

",6,6.EE.7,MCAS,3
"A chair costs 1/7 of the cost of a table. If a table costs $140, how much will it cost to buy a table and 4 chairs?",4,"['3.OA.A.3', '2.NBT.B.7', '4.NF.B.4.c']",GSM8K-TRAIN,1
"The graph below shows y, the total cost in dollars, for x tickets to a movie. 
Movie Tickets y2016_grade5_q4_img_1.png 
Based on the information in the graph, what would be the total cost for 6 movie tickets? 
 A $24 
 B $40 
 C $48 
 D $64 

",5,5.G.2,MCAS,2
"The bar graph shows the numbers of birds that four children saw one day. 
Numbers of Birds Seen y2017_grade3_q3_img_1.png 
How many more birds did Jesse see than Andy saw on that day? 
Enter your answer in the box. 
y2017_grade3_q3_img_2.png 
",3,3.MD.3,MCAS,0
"Each student in a third-grade class made a paper snowflake and measured its length. The line plot below shows the length, in inches, of each paper snowflake. 
Length of Paper Snowflakes
(in inches) y2016_grade3_q14_img_1.png 
What is the length, in inches, of the longest paper snowflake? 
 A $$3\frac{1}{2}$$ 
 B 4 
 C $$4\frac{1}{2}$$ 
 D 5 

",3,3.MD.4,MCAS,0
"The bar graph shows the number of children who brought lunch from home each day for four days. 
Lunch from Home y2018_grade3_q8_img_1.png 
How many more children brought lunch from home on Monday than brought lunch from home on Thursday? 
 A 12 
 B 18 
 C 22 
 D 34 

",3,3.MD.3,MCAS,0
"Which of these is true? 
 A $$ \frac{1}{12} \times 7 = \frac{7}{12} $$ 
 B $$ \frac{1}{12} \times 7 = \frac{12}{7} $$ 
 C $$ \frac{1}{12} \times 7 = \frac{7}{84} $$ 
 D $$ \frac{1}{12} \times 7 = \frac{84}{7} $$ 

",4,4.NF.4,MCAS,1
"Which of the following expressions is equivalent to this number? 
3,620,075 
 A $$ \left( 3 \times 100,000 \right) + \left( 6 \times 1,000 \right) + \left( 2 \times 100 \right) + \left( 7 \times 10 \right) + \left( 5 \times 1 \right) $$ 
 B $$ \left( 3 \times 100,000 \right) + \left( 6 \times 10,000 \right) + \left( 2 \times 1,000 \right) + \left( 7 \times 100 \right) + \left( 5 \times 10 \right) $$ 
 C $$ \left( 3 \times 1,000,000 \right) + \left( 6 \times 100,000 \right) + \left( 2 \times 10,000 \right) + \left( 7 \times 10 \right) + \left( 5 \times 1 \right) $$ 
 D $$ \left( 3 \times 1,000,000 \right) + \left( 6 \times 10,000 \right) + \left( 2 \times 1,000 \right) + \left( 7 \times 100 \right) + \left( 5 \times 10 \right) $$ 

",5,5.NBT.3,MCAS,2
"Madison finished \frac{4}{5}$$ of her homework before dinner. What percent of Madison’s homework is left to finish? 
 A 15% 
 B 20% 
 C 45% 
 D 80% 

",6,6.RP.3,MCAS,3
"Lisa shaded $$\frac{5}{10}$$ of the square shown below. 
y2015_grade4_q19_img_1.png 
Lisa shaded $$\frac{5}{10}$$ of the square shown below. 
 A 0.05 
 B 0.12 
 C 0.20 
 D 0.50 

",4,4.NF.6,MCAS,1
"April, June, September, and November each have 30 days. How many days are in the 4 months altogether? 
 A 34 
 B 70 
 C 120 
 D 136 

",3,3.NBT.3,MCAS,0
